IIS3DWB analysis
input,iis3dwb_acc.dat
samples,82499412
sample_rate_hz,26700.0
duration_seconds,3089.865618
duration_minutes,51.497760
offset_bytes,4
trailing_bytes_ignored,4
unit,counts

overall_axis_stats
axis,mean,std,rms,min,max,p95_abs,p99_abs,p999_abs,near_clip_pct
X,-626.109372,1414.93142,1547.26981,-32768,32767,2552,3279,11812,0.0088315781
Y,-626.070751,1414.50991,1546.86873,-32766,32767,2552,3277,11858,0.00884491152
Z,-626.087341,1414.83379,1547.17161,-32767,32767,2552,3277,11827.589,0.00886188134

quartile_dynamic_rms
quartile,start_min,end_min,axis_rms_x_counts,axis_rms_y_counts,axis_rms_z_counts,vector_rms_counts
1,0.000000,12.874440,1414.60685,1413.97484,1415.30521,2450.20942
2,12.874440,25.748880,1416.13411,1416.20987,1415.90163,2452.72576
3,25.748880,38.623320,1416.47968,1415.28942,1415.20395,2451.99124
4,38.623320,51.497760,1412.50151,1412.56276,1412.92246,2446.8028

half_dynamic_rms
half,start_min,end_min,axis_rms_x_counts,axis_rms_y_counts,axis_rms_z_counts,vector_rms_counts
1,0.000000,25.748880,1415.37069,1415.09282,1415.60346,2451.46793
2,25.748880,51.497760,1414.492,1413.92675,1414.06369,2449.39842

quartile_spectral_summary_counts
axis,quartile,band_0_20,band_20_100,band_100_500,band_500_2000,band_2000_nyquist,top_peak_hz
X,1,845.581225,353.090201,310.806222,803.797373,650.230504,7.74 11.00 18.74 15.48 4.48 34.63 45.63 61.11
X,2,845.665201,352.813971,311.883889,802.067611,653.182051,7.74 11.00 18.74 15.48 4.48 34.63 45.63 61.11
X,3,844.600764,352.900092,310.283395,801.875382,650.452294,7.74 11.00 18.74 15.48 4.48 34.63 45.63 61.11
X,4,844.457625,352.982749,309.398352,794.622213,649.442784,7.74 11.00 18.74 15.48 4.48 34.63 45.63 61.11
Y,1,845.68384,353.020026,311.913209,802.985485,649.434669,7.74 11.00 18.74 15.48 4.48 34.63 45.63 61.11
Y,2,845.53887,352.862756,313.266205,801.707316,651.421698,7.74 11.00 18.74 15.48 4.48 34.63 45.63 61.11
Y,3,844.457215,352.749369,310.729193,803.351154,650.779091,7.74 11.00 18.74 15.48 4.48 34.63 45.63 61.11
Y,4,844.444955,352.780348,309.154429,796.940493,649.537344,7.74 11.00 18.74 15.48 4.48 34.63 45.63 61.11
Z,1,845.627006,353.040256,312.473523,806.410799,649.934764,7.74 11.00 18.74 15.48 4.48 34.63 45.63 61.11
Z,2,845.599124,352.583824,312.933993,801.951199,649.006107,7.74 11.00 18.74 15.48 4.48 34.63 45.63 61.11
Z,3,844.449887,352.892603,310.372664,800.327281,652.457731,7.74 11.00 18.74 15.48 4.48 34.63 45.63 61.11
Z,4,844.366661,352.866263,310.679479,796.112551,649.870352,7.74 11.00 18.74 15.48 4.48 34.63 45.63 61.11
