IIS3DWB analysis
input,derived_data/iis3dwb_acc_decoded_xyz.dat
samples,82382714
sample_rate_hz,26667.0
duration_seconds,3089.313159
duration_minutes,51.488553
offset_bytes,0
trailing_bytes_ignored,0
unit,counts

overall_axis_stats
axis,mean,std,rms,min,max,p95_abs,p99_abs,p999_abs,near_clip_pct
X,-1936.12026,564.152268,2016.63815,-32764,32764,2828,3403,4468,2.06353969e-05
Y,-175.964384,691.548541,713.584507,-32764,32764,1451,2100,2946,6.7975425e-05
Z,214.21425,1084.53639,1105.48945,-32764,32764,2265,3380,4929,0.000112887759

quartile_dynamic_rms
quartile,start_min,end_min,axis_rms_x_counts,axis_rms_y_counts,axis_rms_z_counts,vector_rms_counts
1,0.000000,12.872138,568.948782,673.427942,1092.81464,1404.08396
2,12.872138,25.744276,566.760531,688.459273,1088.67577,1407.26991
3,25.744276,38.616414,563.335514,699.963915,1083.06743,1407.24249
4,38.616414,51.488553,557.496752,703.935574,1073.489,1399.53798

half_dynamic_rms
half,start_min,end_min,axis_rms_x_counts,axis_rms_y_counts,axis_rms_z_counts,vector_rms_counts
1,0.000000,25.744276,567.855763,680.985088,1090.74717,1405.67786
2,25.744276,51.488553,560.423776,701.952738,1078.28891,1403.39568

quartile_spectral_summary_counts
axis,quartile,band_0_20,band_20_100,band_100_500,band_500_2000,band_2000_nyquist,top_peak_hz
X,1,0.953721348,6.06130622,39.1356482,552.988571,108.115417,885.02 881.77 891.94 897.23 876.48 900.89 872.41 646.98
X,2,0.929968419,5.98433193,38.845056,553.524271,108.950147,891.12 885.02 895.19 880.95 898.86 875.26 902.92 872.00
X,3,0.925455633,5.90223657,38.9801028,551.610244,110.925881,889.09 893.57 885.02 881.77 898.04 878.51 901.30 874.44
X,4,1.56301836,6.54822947,44.073177,540.056231,108.433668,888.28 891.94 884.61 895.19 880.14 899.26 662.85 876.07
Y,1,2.97817415,9.90523009,310.294345,598.953074,55.2918439,541.19 537.52 530.20 549.32 159.91 163.17 524.50 155.44
Y,2,3.0721153,9.92118397,305.02986,615.148432,53.9745408,538.34 545.66 534.27 527.35 157.47 550.54 161.13 990.00
Y,3,3.17747559,9.80249565,298.196703,628.249455,54.3601676,538.34 546.07 528.16 157.47 551.36 531.42 161.13 990.82
Y,4,9.29910748,12.2052412,299.972736,630.787093,54.4284766,538.34 546.07 542.81 549.73 526.94 530.20 157.47 161.13
Z,1,2.59203664,26.212317,238.656796,1042.59026,195.589962,959.48 962.74 885.02 980.24 881.77 1410.34 966.40 955.42
Z,2,2.5747469,26.2951496,235.097019,1042.87489,202.540495,963.55 891.12 959.48 895.19 966.81 887.46 988.37 883.39
Z,3,2.67605963,27.191465,230.396354,1036.83524,208.716404,963.96 889.09 893.57 990.82 958.67 987.56 885.02 969.25
Z,4,2.94412763,26.7203043,233.698925,1019.13131,208.212226,965.59 888.28 891.94 991.63 1403.83 895.19 987.97 884.61
