time_start_s,time_end_s,rms_x,rms_y,rms_z,vector_rms,peak_abs_x,peak_abs_y,peak_abs_z,crest_x,crest_y,crest_z,kurtosis_x,kurtosis_y,kurtosis_z,dominant_frequency_hz,dominant_rpm,band_rms_0_20,band_rms_20_100,band_rms_100_500,band_rms_500_2000,band_rms_2000_nyquist
0.000000,5.000000,541.943421,628.066451,1058.19376,1344.59815,6134.42722,3509.29136,7519.53063,11.319313,5.58745233,7.10600545,5.97176015,4.19739794,4.95183274,640.877151,38452.6291,0.867833022,4.69796701,37.4970933,496.470022,90.8552586
5.000000,10.000000,568.298891,641.034019,1076.4221,1375.7081,7310.90792,3722.28143,7143.03758,12.8645472,5.80668313,6.63590761,7.88376274,4.79522418,4.49891358,880.544861,52832.6917,0.773174713,4.0653024,41.8082452,544.910672,109.343996
10.000000,15.000000,549.193005,610.357205,1070.98293,1349.50114,6205.09617,3205.18323,9095.33556,11.298571,5.25132366,8.49251213,7.32235269,3.9262424,5.04338275,883.393204,53003.5922,0.791906158,4.24365637,37.5528423,508.426398,88.3167666
15.000000,20.000000,563.557497,633.778075,1072.58366,1367.37245,5809.33065,3353.53681,8082.95901,10.3083193,5.29134241,7.5359707,7.64266223,4.27443086,4.85439196,876.882706,52612.9623,0.872073217,4.61226761,38.3276394,497.176356,86.9646344
20.000000,25.000000,585.697877,637.68915,1101.75972,1401.27225,7688.49031,3383.73832,10166.2082,13.1270585,5.30625043,9.22724621,9.43787279,4.06675538,5.87869314,879.324142,52759.4485,0.97268101,5.45275006,36.2126198,549.373365,92.7424974
25.000000,30.000000,575.570346,642.309645,1094.83962,1393.74197,6552.45095,4183.20328,7314.79351,11.3842748,6.51275177,6.68115529,8.44204049,4.09949353,5.1207466,885.427734,53125.6641,0.765119728,5.87000385,38.963608,562.759506,113.245522
30.000000,35.000000,560.482981,637.136053,1077.16683,1371.26653,5582.35484,3459.65707,6951.39233,9.95990071,5.43001304,6.45340362,6.23348949,4.00881665,4.77441213,889.903702,53394.2221,0.79569291,6.17741276,36.7966393,595.725769,119.543549
35.000000,40.000000,556.783387,645.325021,1083.57763,1378.61982,5014.28725,3697.03659,7164.73902,9.00581332,5.72895281,6.61211416,5.90264804,4.15915556,4.5564225,888.682983,53320.979,0.882426293,7.00514964,39.9989771,593.984806,120.799646
40.000000,45.000000,554.605241,647.65313,1075.98962,1372.87844,4306.01434,4129.69229,6807.60619,7.76410683,6.37639516,6.32683256,5.41908655,4.22879109,4.59803031,885.020828,53101.2497,0.832489275,7.65281373,40.1503253,588.645557,101.562661
45.000000,50.000000,565.087569,675.2473,1092.86558,1403.43794,4687.79319,4708.31848,7163.97471,8.29569335,6.97273204,6.55522035,5.53534804,4.79992435,4.7503397,885.834641,53150.0784,0.7825941,7.9017308,36.8971145,592.491336,108.131917
50.000000,55.000000,564.672164,630.375537,1067.16968,1362.01288,5619.45175,3277.03402,7103.87438,9.95170668,5.1985425,6.65674308,7.10575636,3.82156575,4.58638405,882.986298,52979.1779,0.769211676,8.12189979,41.4290737,583.439879,132.341077
55.000000,60.000000,550.335912,661.257908,1068.7471,1371.98834,5363.45605,3808.87279,7046.11726,9.74578603,5.76004119,6.59287614,6.40416773,4.70881255,4.73282267,884.613922,53076.8353,0.699528356,7.17019614,43.6781526,534.819511,112.213477
60.000000,65.000000,574.632255,651.042119,1085.7658,1390.30408,7422.02266,3618.46658,11477.6415,12.9161261,5.5579608,10.5710103,11.6258186,4.25100325,6.07717887,881.765579,52905.9348,0.806115852,7.43580476,40.4928717,637.442487,138.087388
65.000000,70.000000,545.418052,657.078567,1069.54632,1368.63524,5334.94496,4202.31922,6111.18161,9.78138685,6.39545928,5.71380735,5.42583991,4.47224587,4.51143179,892.752045,53565.1227,0.737870994,6.39102773,44.0955395,536.669934,107.146143
70.000000,75.000000,547.303919,663.22355,1049.86098,1357.06121,5506.07867,3381.50375,8027.06134,10.0603677,5.09858817,7.64583266,5.7172853,4.01550787,4.6161321,893.972763,53638.3658,0.69560014,6.12297707,39.5712383,543.762143,103.553923
75.000000,80.000000,553.937448,649.823831,1090.01766,1384.65021,6069.0788,4262.65149,6954.037,10.956253,6.55970325,6.37974708,6.18160674,3.96085736,4.80392599,882.172485,52930.3491,0.831208365,5.65444789,39.9514046,503.70862,97.5312354
80.000000,85.000000,564.419296,644.630996,1089.66636,1386.17857,5817.33957,4532.14667,7669.45034,10.3067695,7.03060618,7.03834736,7.18862567,4.29365975,4.85020193,883.393204,53003.5922,0.825746314,4.94139831,37.1121776,482.930088,88.4726376
85.000000,90.000000,576.140224,677.176696,1109.02815,1421.42508,6015.75727,4222.6163,7056.34602,10.4414811,6.23561964,6.36263924,6.5323407,4.88997345,4.83051638,888.276077,53296.5646,0.862251167,4.6563213,36.4794474,478.670133,86.6147052
90.000000,95.000000,559.680084,642.304468,1075.43328,1371.98891,4396.9689,3705.2348,8088.85314,7.85621827,5.76865798,7.52148297,5.91234161,4.31380003,4.9268611,887.869171,53272.1503,0.884023262,4.55501232,38.3544065,516.802861,93.9296781
95.000000,100.000000,550.183417,647.180499,1076.11843,1370.97603,6046.19941,3822.6759,8089.32521,10.989425,5.90666113,7.51713287,6.10462402,4.23908444,4.92888556,880.544861,52832.6917,0.895697505,4.44027291,38.4835806,543.645412,95.459538
100.000000,105.000000,561.78018,667.293184,1115.495,1416.05306,5924.71846,4230.03934,8920.98108,10.5463287,6.33910168,7.99732952,7.41677639,4.31915909,4.80030212,896.821106,53809.2664,0.841542336,4.22775007,37.1358348,528.622753,94.5373975
105.000000,110.000000,557.180762,640.442072,1072.08723,1367.47485,6194.06954,4167.49849,8528.89823,11.1168044,6.50722161,7.95541447,6.80655966,4.33537511,4.66774676,878.103424,52686.2054,0.731506142,4.67658875,35.8142614,524.301962,91.4549546
110.000000,115.000000,563.218463,677.831347,1094.77013,1405.41525,4957.52797,3774.16159,8536.67878,8.80214038,5.56799505,7.79769061,6.13199776,4.42659513,4.95735342,877.289612,52637.3767,0.712723391,5.61257951,37.1306643,540.628322,96.9259567
115.000000,120.000000,567.687924,668.331499,1076.49803,1388.44682,6029.75191,3859.89624,6965.83537,10.6215962,5.77542169,6.47082968,7.19436733,4.17608812,4.77751615,885.427734,53125.6641,0.808271074,5.99767759,37.1564095,569.36329,106.778413
120.000000,125.000000,567.627806,645.112024,1087.10993,1385.70518,6019.22454,3432.93225,8201.12517,10.6041749,5.32145135,7.54397044,6.79745445,4.19199001,5.22821054,884.613922,53076.8353,0.684083073,6.69189545,35.4577789,591.224657,119.41338
125.000000,130.000000,570.256092,672.454633,1108.11776,1416.09047,6305.18708,4061.99959,7067.91083,11.0567641,6.04055558,6.37830302,6.78628322,4.5581183,5.09335553,885.834641,53150.0784,0.683238357,6.80782496,38.642662,599.43654,118.453871
130.000000,135.000000,556.549348,632.800499,1073.3848,1364.67527,5222.42779,3275.74824,6978.98823,9.38358443,5.17658921,6.50185117,6.82988038,4.0129627,5.06935688,893.158951,53589.537,0.888725306,7.59573348,38.869562,597.238448,113.284838
135.000000,140.000000,557.806049,660.156277,1089.57078,1390.72584,5468.57657,3645.29989,10318.5844,9.80372403,5.52187417,9.47032043,6.21606644,4.4076578,4.94684287,881.358673,52881.5204,0.849152423,7.72369071,41.1330433,601.250743,117.964678
140.000000,145.000000,562.93453,680.208522,1085.13634,1398.96383,5058.88878,4410.2492,8067.62179,8.98663788,6.48367237,7.43466185,6.193966,4.14808689,4.67124037,884.207016,53052.421,0.844895798,7.51651245,42.1151121,626.740984,131.829529
145.000000,150.000000,556.566604,675.102977,1084.8769,1393.73179,6306.11238,3572.17702,7095.5886,11.3303823,5.29130687,6.54045503,6.68536885,4.21990128,4.92186685,881.765579,52905.9348,0.750423575,7.33302792,41.3057965,557.708323,122.936277
150.000000,155.000000,547.746088,699.606251,1123.50226,1432.38682,5708.10839,5228.77504,7283.62509,10.4210847,7.47388268,6.48296433,6.95646392,5.08140042,4.76163576,885.834641,53150.0784,0.881534929,7.27072846,41.250989,540.588945,115.665869
155.000000,160.000000,563.124976,672.083118,1107.43686,1412.52323,5115.68857,3590.41877,6829.36735,9.084464,5.34222431,6.16682321,5.44491624,4.21223923,4.48707355,893.972763,53638.3658,0.68891541,6.41896313,43.1985309,530.885858,101.41035
160.000000,165.000000,571.46156,654.660447,1080.00747,1386.20516,7312.25194,3666.39861,11982.5222,12.7957022,5.60045841,11.0948512,11.1009845,4.26755514,6.63732486,640.470245,38428.2147,0.748851432,6.14858811,39.2382483,510.966805,100.028582
165.000000,170.000000,570.146859,662.027254,1092.89755,1399.20427,5610.80934,4207.06016,7393.14387,9.84098967,6.35481414,6.76471814,7.35583746,4.19077896,5.1033153,638.842621,38330.5573,0.735145978,5.23682448,37.9374986,526.32278,94.7989603
170.000000,175.000000,570.840181,650.675086,1095.75536,1396.39407,4453.66052,3438.26939,7779.62119,7.80193943,5.28415712,7.09977928,6.34545215,4.39887453,5.04909728,892.345139,53540.7083,0.924128449,4.9105071,36.2265181,494.197069,88.021116
175.000000,180.000000,562.252206,654.556378,1105.58639,1402.45958,4891.2202,4009.80304,8910.47114,8.69933483,6.12598575,8.05949783,6.15694727,4.35850932,4.85430713,878.51033,52710.6198,0.802559749,4.26202602,38.0751039,510.878164,96.3787056
180.000000,185.000000,559.68144,645.789172,1093.68354,1387.95917,4979.36428,3449.13302,7130.76721,8.89678292,5.34095827,6.51995478,5.93105418,4.01552552,4.46151712,878.103424,52686.2054,0.898602792,4.27104665,38.2715296,501.449371,84.9673779
185.000000,190.000000,551.22772,671.644898,1076.62157,1383.50022,5418.31659,4756.25818,7099.12425,9.82954301,7.0815072,6.59389006,5.44374269,4.88331523,4.79590176,888.682983,53320.979,0.819573356,4.40611916,38.6255601,519.209675,90.0244174
190.000000,195.000000,568.992253,674.199593,1096.54196,1407.37399,4477.87629,3971.27567,6614.20064,7.869837,5.89035608,6.03187189,5.440915,4.72375972,4.58420714,882.579391,52954.7635,0.86146706,4.97353061,36.7690706,523.335489,90.9201338
195.000000,200.000000,561.520484,663.722639,1108.69966,1408.91729,6022.59567,3304.97854,8890.67827,10.7255137,4.9794573,8.01901415,6.42086814,3.98978434,4.98405819,881.765579,52905.9348,0.84730828,5.27655184,39.6990794,525.07519,96.7196464
200.000000,205.000000,561.670975,670.197782,1093.01175,1399.75499,6168.51538,4029.18493,6763.9032,10.9824357,6.01193415,6.18831703,6.50752956,4.39410332,4.5892545,878.51033,52710.6198,0.854576409,5.92498982,37.097548,569.857258,100.651576
205.000000,210.000000,568.551202,659.624863,1096.37585,1400.14122,5719.49733,3574.15631,6938.52936,10.0597753,5.41846815,6.32860469,6.87058143,4.13395683,4.66731324,881.765579,52905.9348,0.841741846,5.91678964,37.6741904,572.116321,113.699969
210.000000,215.000000,572.426752,667.787722,1092.60372,1402.63884,5251.5462,4277.92572,7778.69268,9.17418023,6.40611616,7.11940894,6.52549021,4.48440741,4.98960402,882.986298,52979.1779,0.726946824,6.83008854,39.3086915,574.670993,129.200505
215.000000,220.000000,570.301777,661.541026,1088.13653,1395.32138,5979.15949,3742.68895,7644.91191,10.4842028,5.65753113,7.02569183,6.46952222,4.161457,5.09995713,878.51033,52710.6198,0.744754156,7.09687291,39.252857,620.946701,109.478891
220.000000,225.000000,576.748186,638.584396,1097.4218,1394.54764,5463.78734,3645.11362,8382.14032,9.47343654,5.7081157,7.63802969,6.99968951,4.1390654,5.36307076,887.869171,53272.1503,0.839668703,7.46368253,36.7537273,594.951019,127.633801
225.000000,230.000000,568.067436,663.290965,1091.77407,1398.07945,4249.44224,3516.04236,7300.32775,7.48052426,5.30090495,6.68666525,5.94333311,4.08236327,4.67377813,882.579391,52954.7635,0.793506374,7.91130675,41.5034675,615.42623,104.474312
230.000000,235.000000,574.946526,699.057028,1118.13599,1438.56606,4702.77855,4302.86936,6620.22542,8.17950598,6.15524798,5.92076948,5.42235143,4.38931377,4.4673851,887.462265,53247.7359,0.728767203,7.83264766,41.6679265,608.887203,142.359703
235.000000,240.000000,560.675384,676.001851,1083.81039,1394.984,5168.36343,3240.01185,6800.71268,9.21810299,4.79290382,6.27481774,5.43561122,4.08467064,4.48377199,886.648453,53198.9072,0.846385821,7.19993039,40.3048736,560.552058,115.010731
240.000000,245.000000,556.451534,707.498637,1085.30187,1409.99035,5037.46579,3936.06037,6765.1378,9.05283835,5.56334694,6.23341576,5.53626356,4.18276589,4.49492772,885.834641,53150.0784,0.80616827,6.98711201,40.9381891,534.01821,110.939172
