cluster_id,time_min,gap_from_previous_min,smoothed_count,outlier_rows_in_cluster_window,outlier_axis_events_in_cluster_window,axis_events_within_4_bytes_of_512_boundary,axis_events_within_4_bytes_of_1536_boundary,axis_events_within_64_bytes_of_48128_write_boundary,center_sample,file_byte_offset,fifo_payload_number,fifo_sample_position,estimated_filex_write_number,sd_sector_512_mod,sd_sector_512_nearest_boundary_distance,iis3dwb_payload_1536_mod,iis3dwb_payload_1536_nearest_boundary_distance,estimated_filex_write_48128_mod,estimated_filex_write_48128_nearest_boundary_distance,fat_cluster_32768_mod,fat_cluster_32768_nearest_boundary_distance,fat_cluster_65536_mod,fat_cluster_65536_nearest_boundary_distance,fat_cluster_131072_mod,fat_cluster_131072_nearest_boundary_distance
1,0.225000,,265.000,265,429,18,8,12,360140,2160844,1406,204,44,204,204,1228,308,43212,4916,30924,1844,63692,1844,63692,63692
2,0.425000,0.200000,265.000,265,429,23,4,12,680313,4081882,2657,121,84,218,218,730,730,39130,8998,18650,14118,18650,18650,18650,18650
3,0.675000,0.250000,265.000,265,437,23,3,11,1079442,6476656,4216,146,134,368,144,880,656,27504,20624,21360,11408,54128,11408,54128,54128
4,0.841667,0.166667,270.000,270,440,19,4,13,1347115,8082694,5262,43,167,262,250,262,262,45318,2810,21766,11002,21766,21766,87302,43770
5,1.041667,0.200000,270.000,270,423,22,16,16,1666444,9998668,6509,140,207,332,180,844,692,36172,11956,4428,4428,37196,28340,37196,37196
6,1.391667,0.350000,265.000,265,434,22,4,11,2226180,13357084,8696,4,277,28,28,28,28,25628,22500,20508,12260,53276,12260,118812,12260
7,1.575000,0.183333,268.000,268,424,20,4,13,2520675,15124054,9846,99,314,86,86,598,598,11862,11862,18006,14762,50774,14762,50774,50774
8,2.158333,0.583333,265.000,265,421,16,9,12,3453267,20719606,13489,83,430,502,10,502,502,24566,23562,10230,10230,10230,10230,10230,10230
9,2.291667,0.133333,266.000,266,409,23,5,13,3667337,22004026,14325,137,457,314,198,826,710,9530,9530,16698,16070,49466,16070,115002,16070
10,2.741667,0.450000,273.000,273,458,20,4,12,4385118,26310712,17129,94,546,56,56,568,568,32824,15304,30776,1992,30776,30776,96312,34760
11,2.875000,0.133333,266.000,266,469,18,9,12,4599312,27595876,17966,16,573,100,100,100,100,18532,18532,5220,5220,5220,5220,70756,60316
12,3.241667,0.366667,265.000,265,437,19,5,12,5186477,31118866,20259,173,646,18,18,1042,494,28178,19950,22034,10734,54802,10734,54802,54802
13,3.908333,0.666667,264.000,264,442,20,13,11,6253514,37521088,24427,202,779,192,192,1216,320,29376,18752,1728,1728,34496,31040,34496,34496
14,4.075000,0.166667,267.000,267,459,19,13,10,6520418,39122512,25470,98,812,80,80,592,592,42576,5552,30288,2480,63056,2480,63056,63056
15,4.708333,0.633333,264.000,264,467,21,3,12,7534086,45204520,29430,6,939,40,40,40,40,12328,12328,17448,15320,50216,15320,115752,15320
16,4.875000,0.166667,265.000,265,464,20,12,12,7799607,46797646,30467,55,972,334,178,334,334,17230,17230,4942,4942,4942,4942,4942,4942
