cluster_id,time_min,gap_from_previous_min,smoothed_count,outlier_rows_in_cluster_window,outlier_axis_events_in_cluster_window,axis_events_within_4_bytes_of_512_boundary,axis_events_within_4_bytes_of_1536_boundary,axis_events_within_64_bytes_of_48128_write_boundary,center_sample,file_byte_offset,fifo_payload_number,fifo_sample_position,estimated_filex_write_number,sd_sector_512_mod,sd_sector_512_nearest_boundary_distance,iis3dwb_payload_1536_mod,iis3dwb_payload_1536_nearest_boundary_distance,estimated_filex_write_48128_mod,estimated_filex_write_48128_nearest_boundary_distance,fat_cluster_32768_mod,fat_cluster_32768_nearest_boundary_distance,fat_cluster_65536_mod,fat_cluster_65536_nearest_boundary_distance,fat_cluster_131072_mod,fat_cluster_131072_nearest_boundary_distance
1,4.408333,,60.000,60,67,5,1,2,7039381,42236290,27497,149,877,386,126,898,638,28034,20094,31106,1662,31106,31106,31106,31106
2,5.441667,1.033333,60.000,60,64,2,1,2,8725786,52354720,34085,26,1087,160,160,160,160,39584,8544,24224,8544,56992,8544,56992,56992
3,6.008333,0.566667,61.000,61,65,3,2,1,9599609,57597658,37498,121,1196,218,218,730,730,36570,11558,24282,8486,57050,8486,57050,57050
4,6.525000,0.516667,61.000,61,65,3,1,3,10445398,62672392,40802,86,1302,8,8,520,520,9736,9736,19976,12792,19976,19976,19976,19976
5,7.041667,0.516667,63.000,63,67,1,0,2,11282196,67693180,44071,20,1406,124,124,124,124,25212,22916,27260,5508,60028,5508,60028,60028
6,7.858333,0.816667,61.000,61,64,4,3,2,12572442,75434656,49111,26,1567,160,160,160,160,18080,18080,2720,2720,2720,2720,68256,62816
7,8.158333,0.300000,61.000,61,65,3,0,2,13031670,78190024,50904,246,1624,456,56,1480,56,30152,17976,5576,5576,5576,5576,71112,59960
8,8.775000,0.616667,94.000,94,103,5,4,1,14057708,84346252,54912,236,1752,396,116,1420,116,25996,22132,1420,1420,1420,1420,66956,64116
9,9.325000,0.550000,90.000,90,97,3,0,1,14918141,89508850,58273,253,1859,498,14,1522,14,38898,9230,19442,13326,52210,13326,117746,13326
10,9.875000,0.550000,91.000,91,95,6,4,3,15777273,94663642,61629,249,1966,474,38,1498,38,43994,4134,29658,3110,29658,29658,29658,29658
11,10.375000,0.500000,91.000,91,96,2,0,1,16617293,99703762,64911,77,2071,466,46,466,466,30674,17454,23506,9262,23506,23506,89042,42030
12,10.941667,0.566667,91.000,91,101,6,5,2,17485432,104912596,68302,120,2179,212,212,724,724,41684,6444,22228,10540,54996,10540,54996,54996
13,11.441667,0.500000,85.000,85,92,4,0,1,18323669,109942018,71576,213,2284,258,254,1282,254,17666,17666,5378,5378,38146,27390,103682,27390
14,11.991667,0.550000,98.000,98,104,4,3,2,19178840,115073044,74917,88,2390,20,20,532,532,47124,1004,24596,8172,57364,8172,122900,8172
15,12.508333,0.516667,89.000,89,93,3,0,1,20026057,120156346,78226,201,2496,186,186,1210,326,28858,19270,28858,3910,28858,28858,94394,36678
16,13.058333,0.550000,93.000,93,98,4,0,3,20888923,125333542,81597,91,2604,38,38,550,550,8230,8230,28710,4058,28710,28710,28710,28710
17,13.575000,0.516667,96.000,96,103,5,1,3,21730458,130382752,84884,154,2709,416,96,928,608,4000,4000,31648,1120,31648,31648,97184,33888
18,14.108333,0.533333,86.000,86,92,4,0,2,22586136,135516820,88227,24,2815,148,148,148,148,36500,11628,21140,11628,53908,11628,119444,11628
19,14.658333,0.550000,96.000,96,105,3,2,2,23441850,140651104,91569,186,2922,96,96,1120,416,21088,21088,10848,10848,10848,10848,10848,10848
20,15.175000,0.516667,88.000,88,92,4,0,1,24287812,145726876,94874,68,3027,412,100,412,412,43420,4708,7580,7580,40348,25188,105884,25188
21,15.725000,0.550000,90.000,90,97,3,3,1,25149033,150894202,98238,105,3135,122,122,634,634,12922,12922,30330,2438,30330,30330,30330,30330
22,16.241667,0.516667,90.000,90,95,1,0,1,25998478,155990872,101556,142,3241,344,168,856,680,8024,8024,15192,15192,15192,15192,15192,15192
23,16.791667,0.550000,83.000,83,91,3,3,1,26855547,161133286,104904,123,3348,230,230,742,742,742,742,13030,13030,45798,19738,45798,45798
24,17.575000,0.783333,139.000,139,150,2,1,3,28123565,168741394,109857,173,3506,18,18,1042,494,4626,4626,18962,13806,51730,13806,51730,51730
25,18.641667,1.066667,146.000,146,157,5,4,1,29828659,178971958,116518,51,3718,310,202,310,310,32054,16074,25910,6858,58678,6858,58678,58678
26,19.708333,1.066667,144.000,144,159,8,7,2,31535974,189215848,123187,102,3931,104,104,616,616,24680,23448,13416,13416,13416,13416,78952,52120
