time_start_s,time_end_s,rms_x,rms_y,rms_z,vector_rms,peak_abs_x,peak_abs_y,peak_abs_z,crest_x,crest_y,crest_z,kurtosis_x,kurtosis_y,kurtosis_z,dominant_frequency_hz,dominant_rpm,band_rms_0_20,band_rms_20_100,band_rms_100_500,band_rms_500_2000,band_rms_2000_nyquist
0.000000,5.000000,1377.37674,1406.69911,1373.04544,2400.25475,32599.3812,31974.8508,33115.1143,23.6677304,22.7304123,24.1180032,66.7274318,65.1155642,70.2754658,7.74078369,464.447021,863.343615,304.122135,298.320424,714.044389,588.77731
5.000000,10.000000,1405.09527,1404.44919,1386.95171,2422.89192,33270.547,32626.8362,33238.775,23.6784991,23.231055,23.9653441,67.9164775,68.6628258,67.4051142,7.74078369,464.447021,841.929834,358.87833,382.535814,787.377034,655.461268
10.000000,15.000000,1385.38511,1384.49589,1402.96958,2409.24146,33263.6692,32801.5025,33141.3812,24.0104135,23.6920186,23.6223092,62.0333391,73.4411023,69.7225036,7.74078369,464.447021,836.02412,374.000845,312.827842,801.546707,626.657089
15.000000,20.000000,1398.6908,1390.54549,1401.1533,2419.3353,33358.3882,32380.0103,32843.6611,23.8497229,23.2858331,23.4404481,68.5294328,69.7928865,66.623795,7.74078369,464.447021,833.252686,380.938743,301.78208,750.86934,627.041015
20.000000,25.000000,1394.3793,1421.08974,1410.79891,2440.11132,33343.35,33279.7305,33365.8155,23.9126828,23.418458,23.6502986,66.0749705,76.7348407,59.6183111,7.74078369,464.447021,839.875608,368.656827,285.666078,734.065713,622.334338
25.000000,30.000000,1420.8737,1422.02583,1396.9943,2447.98542,32780.3551,33083.4543,33312.8401,23.0705621,23.2650164,23.8460816,67.8571773,66.7905082,75.5365421,7.74078369,464.447021,854.495737,328.455372,299.105824,906.383006,680.740262
30.000000,35.000000,1416.04348,1388.78535,1434.07861,2447.5468,32727.6556,32966.7381,32738.1134,23.1120415,23.737821,22.8286743,75.7691407,77.3319372,67.6513953,7.74078369,464.447021,860.341183,309.780163,281.63793,852.778384,667.485346
35.000000,40.000000,1378.18142,1422.87896,1417.09641,2435.5966,33301.2796,33292.8858,33264.7598,24.1632046,23.3982558,23.4738861,77.1370705,72.5630681,64.3275841,7.74078369,464.447021,845.214317,357.888187,283.642762,763.076486,617.123283
40.000000,45.000000,1411.30994,1424.15345,1389.8439,2439.60547,32983.4766,33225.407,32787.4744,23.3708243,23.3299347,23.5907603,66.6147626,77.5113884,71.5966702,7.74078369,464.447021,833.705037,374.587099,325.380435,860.040055,630.386072
45.000000,50.000000,1427.38913,1390.60727,1412.5327,2442.63729,32572.2795,32773.7208,32763.5976,22.8194813,23.56792,23.1949304,67.9172089,71.4011821,61.9500863,7.74078369,464.447021,836.722092,380.040117,288.825849,841.768756,596.696145
